TUCASEID,weight,race,age,labor_force_status,sex,day,year,category,TULINENO,region,division,state,metro_status,metro_area,county,category_sum_min,category_sum_hour,category_sum_hour_weight
20190101190022,2286291.439799,Black,85,Retired,Female,1,2019,socializing,1,South,West South Central,TX,metropolitan,26420,0,0,0,0
20190101190031,53729031.431663,White,25,Employed-At work,Female,4,2019,socializing,1,Midwest,East North Central,MI,metropolitan,24340,0,0,0,0
20190101190057,23789098.911461,White,20,Employed-At work,Female,5,2019,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,47,0,0,0
20190101190107,22241500.157859,White,61,Unemployed-Looking,Female,3,2019,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,5,0,0,0
20190101190555,2599756.61986,White,34,Employed-At work,Male,1,2019,socializing,1,Northeast,New England,VT,non-metropolitan,0,0,35,0.5833333333333334,1516524.6949183333
20190101190565,17223160.514212,White,53,Employed-At work,Female,3,2019,socializing,1,Northeast,New England,MA,metropolitan,14460,17,40,0.6666666666666666,11482107.009474667
20190101190568,5515375.655517,White,26,Employed-At work,Female,1,2019,socializing,1,South,West South Central,TX,metropolitan,26420,0,0,0,0
20190101190587,7640780.010151,White,45,Employed-At work,Male,1,2019,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20190101190607,2865211.663099,White,85,Retired,Male,1,2019,socializing,1,Midwest,East North Central,WI,non-metropolitan,0,0,0,0,0
20190101190654,17748277.199617,White,74,Retired,Male,3,2019,socializing,1,South,West South Central,TX,metropolitan,41700,0,0,0,0
20190101190677,2290433.4979,White,85,Retired,Female,1,2019,socializing,1,Midwest,East North Central,IN,metropolitan,29200,0,185,3.0833333333333335,7062169.951858333
20190101190703,5831622.58622,Black,36,Employed-At work,Male,5,2019,socializing,1,South,South Atlantic,VA,metropolitan,40060,87,0,0,0
20190101190725,7116737.697129,Black,67,Retired,Female,4,2019,socializing,1,South,East South Central,AL,metropolitan,33860,0,0,0,0
20190101190755,1994509.93682,White,40,Employed-At work,Male,1,2019,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20190101190757,21721841.137096,White,53,Employed-At work,Male,5,2019,socializing,1,Midwest,East North Central,WI,metropolitan,31540,0,0,0,0
20190101190760,10432997.71808,White,77,Retired,Female,3,2019,socializing,1,Northeast,New England,CT,metropolitan,14860,1,33,0.55,5738148.744944
20190101190778,2438151.526197,White,40,Employed-At work,Male,1,2019,socializing,1,Midwest,East North Central,MI,metropolitan,19820,0,0,0,0
20190101190790,20913244.132109,White,52,Employed-At work,Male,4,2019,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20190101190802,13517841.481708,White,52,Employed-At work,Male,5,2019,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,61,0,0,0
20190101190817,3669781.997381,White,37,Employed-At work,Female,1,2019,socializing,1,West,Pacific,CA,metropolitan,31080,59,120,2,7339563.994762
20190101190827,17576712.26467,White,74,Retired,Male,3,2019,socializing,1,Northeast,New England,VT,non-metropolitan,0,0,0,0,0
20190101190838,5343299.134406,White,18,Retired,Male,1,2019,socializing,NA,NA,NA,NA,NA,NA,NA,300,5,26716495.672030002
20190101190855,5712924.781399,White,76,Retired,Male,2,2019,socializing,1,South,East South Central,KY,metropolitan,0,0,240,4,22851699.125596
20190101190877,18659623.161653,White,67,Retired,Female,4,2019,socializing,1,South,West South Central,TX,non-metropolitan,0,0,0,0,0
20190101190912,11287941.418438,White,68,Employed-At work,Male,4,2019,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20190101190950,32322075.148457,Asian,18,Retired,Male,4,2019,socializing,NA,NA,NA,NA,NA,NA,NA,55,0.9166666666666666,29628568.88608558
20190101190955,3919019.789642,Black,68,Retired,Female,1,2019,socializing,1,South,South Atlantic,VA,metropolitan,47260,550,75,1.25,4898774.7370525
20190101190969,5716189.319487,Asian,80,Retired,Female,2,2019,socializing,1,South,West South Central,TX,metropolitan,26420,0,0,0,0
20190101190971,6056709.341348,White,65,Employed-At work,Male,1,2019,socializing,1,South,West South Central,TX,metropolitan,19100,0,0,0,0
20190101190992,6017664.404948,White,64,Employed-At work,Male,1,2019,socializing,1,Northeast,Middle Atlantic,NJ,metropolitan,37980,5,120,2,12035328.809896
20190101190993,6495347.04414,White,74,Retired,Female,5,2019,socializing,1,Midwest,West North Central,MO,metropolitan,41180,99,0,0,0
20190101190996,15333799.962761,White,19,Employed-At work,Male,1,2019,socializing,1,Midwest,West North Central,MN,metropolitan,0,0,0,0,0
20190101191026,5258046.715023,White,68,Retired,Female,5,2019,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,40380,55,105,1.75,9201581.75129025
20190101191042,3163450.808186,Black,47,Employed-At work,Female,4,2019,socializing,1,Midwest,West North Central,IA,metropolitan,19780,0,0,0,0
20190101191054,2427399.1059,White,59,Retired,Female,1,2019,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,15380,0,0,0,0
20190101191111,9377271.725166,White,33,Employed-At work,Male,2,2019,socializing,1,South,South Atlantic,GA,metropolitan,31420,0,80,1.3333333333333333,12503028.966888
20190101191192,7824892.786223,White,42,Employed-At work,Male,4,2019,socializing,1,Northeast,Middle Atlantic,NJ,metropolitan,35620,0,0,0,0
20190101191219,4120859.679651,White,58,Retired,Male,1,2019,socializing,1,South,South Atlantic,SC,metropolitan,34820,51,0,0,0
20190101191238,7969496.238703,Black,40,Retired,Female,1,2019,socializing,1,West,Mountain,CO,metropolitan,19740,0,0,0,0
20190101191258,8206446.163228,Black,57,Employed-At work,Female,5,2019,socializing,1,South,South Atlantic,GA,metropolitan,12060,0,0,0,0
20190101191270,5170967.016152,White,46,Employed-At work,Male,1,2019,socializing,1,West,Mountain,AZ,not identified,0,0,0,0,0
20190101191288,2953556.988879,White,72,Retired,Female,1,2019,socializing,1,Midwest,East North Central,MI,metropolitan,24340,0,20,0.3333333333333333,984518.996293
20190101191314,11228558.390947,White,28,Employed-At work,Female,3,2019,socializing,NA,NA,NA,NA,NA,NA,NA,30,0.5,5614279.1954735
20190101191325,5821569.754121,White,62,Retired,Female,1,2019,socializing,1,West,Pacific,OR,metropolitan,38900,0,265,4.416666666666667,25711933.080701087
20190101191327,4530218.744019,White,80,Retired,Male,1,2019,socializing,1,West,Pacific,CA,metropolitan,41940,0,0,0,0
20190101191331,2233401.281766,White,44,Retired,Female,1,2019,socializing,1,Midwest,West North Central,NE,metropolitan,36540,55,15,0.25,558350.3204415
20190101191418,6062815.326588,White,66,Retired,Female,1,2019,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20190101191420,4981077.728669,Black,61,Employed-At work,Female,3,2019,socializing,1,South,West South Central,TX,metropolitan,19100,0,0,0,0
20190101191442,15122330.715543,Asian,41,Employed-At work,Female,4,2019,socializing,1,South,South Atlantic,GA,metropolitan,12060,117,210,3.5,52928157.5044005
20190101191477,10717298.066793,Black,54,Employed-At work,Female,4,2019,socializing,1,South,South Atlantic,SC,metropolitan,22500,41,0,0,0
